"","date","tx_type","fund","value","unit","rowth"
"73",2025-04-08,"สับเปลี่ยนเข้า","K-FIXEDPLUS-SSF",112288.64,9790.4509,298
"74",2025-04-08,"สับเปลี่ยนออก","K-CHINA-SSF",-112288.64,-24533.2407,298
"75",2025-06-25,"ซื้อ","ES-CASH",500,34.7925,256
"76",2025-06-26,"ซื้อ","SCBTS100X(25A)",3e+05,32562.6831,251
"77",2025-06-30,"ซื้อ","KTSTPLUS-A",100,8.8292,236
"78",2025-06-30,"สับเปลี่ยนเข้า","ES-SETESG-ThaiESG-A",254880.35,31384.1811,246
"79",2025-06-30,"สับเปลี่ยนออก","ES-ESG3070-ThaiESG-A",-254880.35,-25217.7011,246
"80",2025-07-14,"สับเปลี่ยนเข้า","PRINCIPAL GOPP-SSF",29494.49,1353.3307,210
"81",2025-07-14,"สับเปลี่ยนออก","PRINCIPAL iPROPEN-SSF",-29494.49,-3448.2365,210
"82",2025-07-14,"สับเปลี่ยนเข้า","K-USA-SSF",114028.4,6688.4318,220
"83",2025-07-14,"สับเปลี่ยนออก","K-FIXEDPLUS-SSF",-114028.4,-9790.4509,220
"84",2025-07-14,"สับเปลี่ยนเข้า","ONE-UGG-ASSF",66068.68,2063.8529,230
"85",2025-07-14,"สับเปลี่ยนออก","1AM-DAILY-SSF",-66068.68,-5116.3674,230
"86",2025-08-04,"ขาย","KTSTPLUS-A",-100.21,-8.8292,194
"87",2025-08-04,"ขาย","ES-CASH",-500.7,-34.7925,198
"88",2025-08-28,"ซื้อ","SCBSFF",600,27.7818,189
"89",2025-09-12,"ซื้อ","MEGA10CHINARMF",1e+05,6594.3051,183
"90",2025-09-15,"ขาย","SCBSFF",-600.26,-27.7818,178
"91",2025-11-03,"ซื้อ","KKP GB THAI ESG",1e+05,8784.7216,172
"92",2025-11-17,"สับเปลี่ยนเข้า","ES-ESG3070-ThaiESG-A",287271.96,27747.7021,157
"93",2025-11-17,"สับเปลี่ยนออก","ES-SETESG-ThaiESG-A",-287271.96,-31384.1811,157
"94",2025-11-17,"สับเปลี่ยนเข้า","SCBT70X(25A)",345161.18,33330.2284,167
